ID,诗名,花名,朝代,正文_preview,ccpoem_top5,ccpoem_top10,ccpoem_top10_with_score,ccpoem_cls_l2
108,浣溪沙,梅花,清,洗尽铅华独淡妆，孤情偏爱水云乡。耻同桃李媚春光。  已托焦桐传密意，更邀明月伴幽,李、桐、水、塘、密,李 桐 水 塘 密 寒 云 孤 铅 独,"[[""李"", 0.061717186123132706], [""桐"", 0.05124619975686073], [""水"", 0.04219106584787369], [""塘"", 0.04016967862844467], [""密"", 0.029788170009851456], [""寒"", 0.02908342517912388], [""云"", 0.026878107339143753], [""孤"", 0.025704408064484596], [""铅"", 0.02316524274647236], [""独"", 0.022220924496650696]]",25.541651
109,长相思,梅花,宋,寒相催，暖相催，催了开时催谢时，丁宁花放迟。 角声吹，笛声吹，吹了南枝吹北枝，明,寒、相、飞、花、雪,寒 相 飞 花 雪 枝 北 声 朝 丁,"[[""寒"", 0.07083611935377121], [""相"", 0.040233828127384186], [""飞"", 0.034314632415771484], [""花"", 0.0327986516058445], [""雪"", 0.031555987894535065], [""枝"", 0.026262303814291954], [""北"", 0.023984050378203392], [""声"", 0.023043783381581306], [""朝"", 0.02252286858856678], [""丁"", 0.02107524313032627]]",25.502781
110,鬲溪梅令,梅花,宋,好花不与帶香人，浪粼粼。又恐春风归去绿成阴，玉钿何处寻？  木兰双桨梦中云，水横,翠、桨、山、啼、绿,翠 桨 山 啼 绿 花 陈 梦 浪 木,"[[""翠"", 0.07875199615955353], [""桨"", 0.060774631798267365], [""山"", 0.047112103551626205], [""啼"", 0.039711836725473404], [""绿"", 0.03159414604306221], [""花"", 0.030363915488123894], [""陈"", 0.029553130269050598], [""梦"", 0.02845451794564724], [""浪"", 0.028016088530421257], [""木"", 0.02664671279489994]]",25.56427
111,卜算子,梅花,宋,古涧一枝梅，免被园林锁。路远山深不怕寒，似共春相躲。 幽思有谁知？托契都难可。独,寒、枝、涧、山、梅,寒 枝 涧 山 梅 香 园 被 锁 思,"[[""寒"", 0.11558541655540466], [""枝"", 0.06327731162309647], [""涧"", 0.055143292993307114], [""山"", 0.04565463587641716], [""梅"", 0.043766286224126816], [""香"", 0.031464166939258575], [""园"", 0.02946365624666214], [""被"", 0.024980664253234863], [""锁"", 0.0228279959410429], [""思"", 0.022073594853281975]]",25.609037
112,卜算子,梅花,宋,驿外断桥边，寂寞开无主。已是黄昏独自愁，更著风和雨。 无意苦争春，一任群芳妒。零,桥、愁、驿、尘、香,桥 愁 驿 尘 香 妒 黄 雨 著 芳,"[[""桥"", 0.07518427819013596], [""愁"", 0.04676360264420509], [""驿"", 0.04599478095769882], [""尘"", 0.02962598390877247], [""香"", 0.029324589297175407], [""妒"", 0.024959273636341095], [""黄"", 0.02346290834248066], [""雨"", 0.022595513612031937], [""著"", 0.021180959418416023], [""芳"", 0.01987001858651638]]",25.609648
113,诉衷情,梅花,宋,夜来沉醉卸妆迟，梅萼插残枝。酒醒薰破春睡，梦远不成归。 人悄悄，月依依，翠帘垂。,帘、翠、睡、梦、悄,帘 翠 睡 梦 悄 月 萼 蕊 来 沉,"[[""帘"", 0.07195156812667847], [""翠"", 0.041248273104429245], [""睡"", 0.03613027185201645], [""梦"", 0.027336198836565018], [""悄"", 0.025403836742043495], [""月"", 0.02386678382754326], [""萼"", 0.021164583042263985], [""蕊"", 0.021055234596133232], [""来"", 0.01970624551177025], [""沉"", 0.01647808775305748]]",25.565931
114,霜天晓角,梅花,宋,冰清霜洁。昨夜梅花发。甚处玉龙三弄，声摇动、 枝头月。 梦绝。金兽热。晓寒兰烬灭,梅、帘、夜、声、花,梅 帘 夜 声 花 动 兰 发 梦 烬,"[[""梅"", 0.03276745229959488], [""帘"", 0.03166503459215164], [""夜"", 0.028164302930235863], [""声"", 0.027083026245236397], [""花"", 0.026573864743113518], [""动"", 0.026150763034820557], [""兰"", 0.023884432390332222], [""发"", 0.023863714188337326], [""梦"", 0.023572197183966637], [""烬"", 0.02290138602256775]]",25.577335
115,霜天晓角,梅花,宋,晚晴风歇，一夜春威折。脉脉花疏天淡，云来去，数枝雪。  胜绝，愁亦绝，此情谁共说,云、花、雪、愁、威,云 花 雪 愁 威 楼 月 风 枝 雁,"[[""云"", 0.08906986564397812], [""花"", 0.07044433057308197], [""雪"", 0.06880642473697662], [""愁"", 0.05972230061888695], [""威"", 0.0511956512928009], [""楼"", 0.04170678183436394], [""月"", 0.028577348217368126], [""风"", 0.026111682876944542], [""枝"", 0.025689614936709404], [""雁"", 0.02275351621210575]]",25.549213
116,霜天晓角,梅花,宋,千霜万雪，受尽寒磨折。赖是生来瘦硬，浑不怕、角吹彻。  清绝，影也别，知心唯有月,月、寒、雪、霜、吹,月 寒 雪 霜 吹 尽 春 瘦 折 心,"[[""月"", 0.06651096045970917], [""寒"", 0.06590595096349716], [""雪"", 0.038323741406202316], [""霜"", 0.0350780226290226], [""吹"", 0.03280177339911461], [""尽"", 0.03178759664297104], [""春"", 0.029507828876376152], [""瘦"", 0.02892364375293255], [""折"", 0.028124602511525154], [""心"", 0.024990906938910484]]",25.579828
117,霜天晓角,梅花,清,傲雪凌霜，经寒分外香。开向百花头上，又岂为、占春光。  寿阳夸睡妆，罗浮谈梦谎。,寒、又、谈、春、士,寒 又 谈 春 士 雪 林 霜 香 梦,"[[""寒"", 0.043847329914569855], [""又"", 0.03208019584417343], [""谈"", 0.027813786640763283], [""春"", 0.02713952586054802], [""士"", 0.02482420951128006], [""雪"", 0.024247994646430016], [""林"", 0.023857956752181053], [""霜"", 0.02109375409781933], [""香"", 0.021065089851617813], [""梦"", 0.020930849015712738]]",25.573271
118,清平乐,梅花,宋,吹香嚼蕊，独立东风里。雪冻云娇天似水，羞杀夭桃浓李。  如今见说阑干，不禁月冷风,云、月、寒、城、蕊,云 月 寒 城 蕊 水 程 岭 冷 桃,"[[""云"", 0.04437887296080589], [""月"", 0.04126494377851486], [""寒"", 0.03764982149004936], [""城"", 0.03470363840460777], [""蕊"", 0.031712617725133896], [""水"", 0.030221283435821533], [""程"", 0.027682732790708542], [""岭"", 0.02600269205868244], [""冷"", 0.023889418691396713], [""桃"", 0.02306113764643669]]",25.517511
119,清平乐,梅花,宋,年年雪里，常插梅花醉。挼尽梅花无好意，贏得满衣清泪。  今年海角天涯，萧萧两鬓生,海、角、风、雪、花,海 角 风 雪 花 鬓 势 年 清 看,"[[""海"", 0.039774004369974136], [""角"", 0.03390638902783394], [""风"", 0.02739238552749157], [""雪"", 0.026322143152356148], [""花"", 0.021687617525458336], [""鬓"", 0.02151995338499546], [""势"", 0.020051244646310806], [""年"", 0.019007142633199692], [""清"", 0.018783582374453545], [""看"", 0.01860344596207142]]",25.568602
120,好事近,梅花,宋,的乐两三枝，点破暮烟苍碧。好在屋檐斜入，傍玉奴横笛。 月华如水过林塘，花荫弄苔石,烟、石、玉、苔、蝶,烟 石 玉 苔 蝶 枝 碧 檐 香 花,"[[""烟"", 0.058166880160570145], [""石"", 0.053133245557546616], [""玉"", 0.05071084573864937], [""苔"", 0.042430806905031204], [""蝶"", 0.03766731917858124], [""枝"", 0.03533584251999855], [""碧"", 0.0327003188431263], [""檐"", 0.0321132093667984], [""香"", 0.029949858784675598], [""花"", 0.029452888295054436]]",25.549088
121,忆秦娥,梅花,宋,与君别，相思一夜梅花发。梅花发，凄凉南浦，断桥斜月。 盈盈微步凌波袜，东风笑依天,凉、愁、花、浦、月,凉 愁 花 浦 月 梅 管 笑 思 声,"[[""凉"", 0.04614546149969101], [""愁"", 0.044623129069805145], [""花"", 0.03297334164381027], [""浦"", 0.02470019832253456], [""月"", 0.022845346480607986], [""梅"", 0.022313931956887245], [""管"", 0.021708505228161812], [""笑"", 0.020915085449814796], [""思"", 0.01961364410817623], [""声"", 0.01893334835767746]]",25.61315
122,忆少年,梅花,宋,疏疏整整，斜斜淡淡，盈盈脉脉。徒怜暗香句，笑梨花颜色。 羁马萧萧行又急。空回首、,水、寒、香、马、梨,水 寒 香 马 梨 又 花 天 沙 句,"[[""水"", 0.07919679582118988], [""寒"", 0.04091843590140343], [""香"", 0.039499666541814804], [""马"", 0.02858385071158409], [""梨"", 0.028316350653767586], [""又"", 0.028078589588403702], [""花"", 0.022875698283314705], [""天"", 0.019600866362452507], [""沙"", 0.019519228488206863], [""句"", 0.019292591139674187]]",25.47616
123,阮郎归,梅花,宋,暗香浮动月黄昏，堂前一树春。 、东风何事入西邻？儿家常闭门。 雪肌冷，玉容真，香,云、堂、岭、江、肌,云 堂 岭 江 肌 花 邻 雪 门 风,"[[""云"", 0.09245183318853378], [""堂"", 0.04133378714323044], [""岭"", 0.040929801762104034], [""江"", 0.035863738507032394], [""肌"", 0.03409859538078308], [""花"", 0.031296104192733765], [""邻"", 0.027786530554294586], [""雪"", 0.027189480140805244], [""门"", 0.026537122204899788], [""风"", 0.024704111739993095]]",25.588789
124,善萨蛮,梅花,宋,雪花飞暖融香颊。颊香融暖飞花雪。欺雪任单衣。衣单任雪欺。 ·别时梅子结。结子梅时,子、飞、雪、花、梅,子 飞 雪 花 梅 恨 任 衣 归 单,"[[""子"", 0.029357630759477615], [""飞"", 0.02775118127465248], [""雪"", 0.024669598788022995], [""花"", 0.0215449295938015], [""梅"", 0.021264176815748215], [""恨"", 0.020569581538438797], [""任"", 0.019514665007591248], [""衣"", 0.01483321376144886], [""归"", 0.014298854395747185], [""单"", 0.013644404709339142]]",25.609547
125,菩萨蛮,梅花,宋,含章檐下眉如月，融酥和粉描疏雪。桃杏莫争春，凌风台畔人。 如今千万树，零乱孤村雨,台、风、雨、眉、肌,台 风 雨 眉 肌 檐 月 瑶 觞 孤,"[[""台"", 0.04454508423805237], [""风"", 0.03663519397377968], [""雨"", 0.035191603004932404], [""眉"", 0.034730374813079834], [""肌"", 0.03471621870994568], [""檐"", 0.03406894952058792], [""月"", 0.03038257360458374], [""瑶"", 0.029459383338689804], [""觞"", 0.026904355734586716], [""孤"", 0.023741045966744423]]",25.575411
126,菩萨蛮,梅花,宋,银河宛转三千曲，浴凫飞鹭澄波绿。何处是归舟？夕阳江上楼。 天憎梅浪发，故下封枝雪,雪、天、河、阳、帘,雪 天 河 阳 帘 梅 寒 波 浪 院,"[[""雪"", 0.042937006801366806], [""天"", 0.04092073440551758], [""河"", 0.03832343593239784], [""阳"", 0.03498675674200058], [""帘"", 0.03464975580573082], [""梅"", 0.03347356617450714], [""寒"", 0.02942265383899212], [""波"", 0.02879681997001171], [""浪"", 0.02769388258457184], [""院"", 0.0226577240973711]]",25.559505
127,朝中措,梅花,宋,幽姿不入少年场，无语只凄凉。一个飘零身世，十分冷淡心肠。  江头月底，新诗旧梦，,管、心、月、凉、旧,管 心 月 凉 旧 香 任 幽 零 姿,"[[""管"", 0.0391155369579792], [""心"", 0.023518871515989304], [""月"", 0.022235991433262825], [""凉"", 0.021996159106492996], [""旧"", 0.02065298520028591], [""香"", 0.020079193636775017], [""任"", 0.019060466438531876], [""幽"", 0.018392305821180344], [""零"", 0.01788647100329399], [""姿"", 0.017249219119548798]]",25.54945
128,虞美人,梅花,宋,天涯也有江南信，梅破知春近。夜阑风静得香迟，不道晓来开遍向南枝。 玉台弄粉花应妒,粉、心、眉、台、香,粉 心 眉 台 香 花 梅 阑 风 飘,"[[""粉"", 0.046084336936473846], [""心"", 0.03607320785522461], [""眉"", 0.030651507899165154], [""台"", 0.030020104721188545], [""香"", 0.028629200533032417], [""花"", 0.028209686279296875], [""梅"", 0.02743392251431942], [""阑"", 0.027002716436982155], [""风"", 0.023399613797664642], [""飘"", 0.022541256621479988]]",25.561005
129,西江月,梅花,宋,玉骨那愁瘴雾，冰肌自有仙风。海仙时遣探芳丛，倒挂绿毛幺凤。 素面常嫌粉涴，洗妆不,云、凤、梦、海、雾,云 凤 梦 海 雾 丛 洗 肌 愁 花,"[[""云"", 0.08337289839982986], [""凤"", 0.05780111998319626], [""梦"", 0.03666286543011665], [""海"", 0.027381528168916702], [""雾"", 0.024045927450060844], [""丛"", 0.02097075805068016], [""洗"", 0.018787940964102745], [""肌"", 0.017188237980008125], [""愁"", 0.016825275495648384], [""花"", 0.015859762206673622]]",25.564919
130,盐角儿,梅花,宋,开时似雪，谢时似雪，花中奇绝。香非在蕊，香非在萼，骨中香彻。 占溪风，留溪月，堪,雪、终、山、萼、血,雪 终 山 萼 血 月 一 羞 风 香,"[[""雪"", 0.02842159941792488], [""终"", 0.026760470122098923], [""山"", 0.024654410779476166], [""萼"", 0.02213958650827408], [""血"", 0.020813098177313805], [""月"", 0.020559731870889664], [""一"", 0.020311295986175537], [""羞"", 0.01841133087873459], [""风"", 0.018270889297127724], [""香"", 0.01766292005777359]]",25.570799
131,踏莎行,梅花,宋,雪似梅花，梅花似雪，似和不似都奇绝。恼人风味 阿谁知？请君问取南楼月。 记得旧时,雪、谁、味、犹、恼,雪 谁 味 犹 恼 节 风 月 请 得,"[[""雪"", 0.02331036515533924], [""谁"", 0.02184566669166088], [""味"", 0.02030995488166809], [""犹"", 0.02016630955040455], [""恼"", 0.019924525171518326], [""节"", 0.019249606877565384], [""风"", 0.01784348301589489], [""月"", 0.017309077084064484], [""请"", 0.016745103523135185], [""得"", 0.016069630160927773]]",25.537556
132,临江仙,梅花,宋,江东人得早梅，见约探题，且访梅之所在，因携笺管，就赋花下。 初破晓寒无限思，融融,寒、香、泪、题、梅,寒 香 泪 题 梅 腊 犹 江 蜂 湿,"[[""寒"", 0.03221198916435242], [""香"", 0.01875869184732437], [""泪"", 0.017624076455831528], [""题"", 0.01619100198149681], [""梅"", 0.015322381630539894], [""腊"", 0.014740734361112118], [""犹"", 0.014688979834318161], [""江"", 0.014420014806091785], [""蜂"", 0.013980383053421974], [""湿"", 0.013492324389517307]]",25.539713
133,临江仙,梅花,宋,庭院深深深几许，云窗雾阁春迟。为谁憔悴损芳姿。 夜来清梦好，应是发南枝。 玉瘦檀,院、窗、云、清、浓,院 窗 云 清 浓 风 花 姿 夜 楼,"[[""院"", 0.0453370101749897], [""窗"", 0.03090394288301468], [""云"", 0.02737196534872055], [""清"", 0.020560285076498985], [""浓"", 0.016717707738280296], [""风"", 0.016394568607211113], [""花"", 0.016056666150689125], [""姿"", 0.014291273429989815], [""夜"", 0.014182956889271736], [""楼"", 0.014106111600995064]]",25.530073
134,临江仙,梅花,宋,老去惜花心已懒，爱梅犹绕江村。一枝先破玉溪春。更无花态度，全是雪精神。 胜向空山,云、雪、月、花、竹,云 雪 月 花 竹 山 带 记 犹 江,"[[""云"", 0.03780674561858177], [""雪"", 0.018217451870441437], [""月"", 0.01804439164698124], [""花"", 0.017020229250192642], [""竹"", 0.016861984506249428], [""山"", 0.016576064750552177], [""带"", 0.01606810837984085], [""记"", 0.01580653339624405], [""犹"", 0.01572420634329319], [""江"", 0.015331733971834183]]",25.557859
135,渔家傲,梅花,宋,雪月照梅溪畔路，幽姿背立无言语。冷侵瘦枝清浅处。香暗度，妆成处士横斜句。 浑似玉,溪、花、云、玉、清,溪 花 云 玉 清 士 瘦 枝 楚 画,"[[""溪"", 0.061998263001441956], [""花"", 0.04629920795559883], [""云"", 0.03469780087471008], [""玉"", 0.03396854177117348], [""清"", 0.02956915833055973], [""士"", 0.028162434697151184], [""瘦"", 0.024671614170074463], [""枝"", 0.024436576291918755], [""楚"", 0.02420932427048683], [""画"", 0.020514946430921555]]",25.519875
136,孤雁儿,梅花,宋,世人作梅词，下笔便俗。予试作一篇，乃知前言不妄耳。 藤床纸帐朝眠起。说不尽、无佳,泪、笛、雨、寒、炉,泪 笛 雨 寒 炉 箫 枝 帐 风 耳,"[[""泪"", 0.043382756412029266], [""笛"", 0.02384086698293686], [""雨"", 0.022931363433599472], [""寒"", 0.022740419954061508], [""炉"", 0.020097315311431885], [""箫"", 0.017051929607987404], [""枝"", 0.0158454030752182], [""帐"", 0.013955882750451565], [""风"", 0.01105096098035574], [""耳"", 0.010070787742733955]]",25.59906
137,江梅引,梅花,金,汉宫娇额倦涂黄。试新妆，立昭阳。萼绿仙姿，高髻碧罗裳。翠袖卷纱闲倚竹，暝云合，琼,鸿、月、霜、烟、云,鸿 月 霜 烟 云 粟 渺 绿 清 竹,"[[""鸿"", 0.018090851604938507], [""月"", 0.01778213493525982], [""霜"", 0.016073085367679596], [""烟"", 0.01606460101902485], [""云"", 0.015849601477384567], [""粟"", 0.015399585478007793], [""渺"", 0.01441185362637043], [""绿"", 0.01420407835394144], [""清"", 0.014164301566779613], [""竹"", 0.0141128646209836]]",25.487318
138,望 梅,梅花,宋,画栏人寂，喜轻盈照水，犯寒先拆。袅芳枝，云缕鲛绡，露浅浅涂黄，汉宫娇额。剪玉裁冰,雪、寒、露、嗅、枝,雪 寒 露 嗅 枝 月 水 笛 云 杳,"[[""雪"", 0.03561018779873848], [""寒"", 0.016495995223522186], [""露"", 0.01421134453266859], [""嗅"", 0.011632494628429413], [""枝"", 0.011503157205879688], [""月"", 0.011447565630078316], [""水"", 0.010555559769272804], [""笛"", 0.009888220578432083], [""云"", 0.009582767263054848], [""杳"", 0.009145976975560188]]",25.526178
139,最高楼,梅花,宋,花知否？花一似何郎，又似沈东阳。瘦棱棱地天然 白，冷清清地许多香。笑东君，还又向,水、月、山、竹、阳,水 月 山 竹 阳 冷 李 清 影 沈,"[[""水"", 0.033002205193042755], [""月"", 0.03141762316226959], [""山"", 0.028061991557478905], [""竹"", 0.02435748092830181], [""阳"", 0.02098175883293152], [""冷"", 0.019065551459789276], [""李"", 0.017823047935962677], [""清"", 0.016772206872701645], [""影"", 0.015572969801723957], [""沈"", 0.015568539500236511]]",25.54282
140,汉宫春,梅花,宋,潇洒江梅，向竹梢疏处，横两三枝。东君也不爱惜，雪压霜欺。无情燕子，怕春寒、轻失花,寒、云、霜、堂、月,寒 云 霜 堂 月 梅 花 香 竹 塞,"[[""寒"", 0.03437640517950058], [""云"", 0.024202942848205566], [""霜"", 0.02205909974873066], [""堂"", 0.017359623685479164], [""月"", 0.01730860024690628], [""梅"", 0.01660235971212387], [""花"", 0.015796752646565437], [""香"", 0.014920512214303017], [""竹"", 0.01469209510833025], [""塞"", 0.014246497303247452]]",25.502716
141,东风第一枝,梅花,明,饵玉餐香，梦云惜月，花中无此清莹。俨然姑射仙人，华佩明玛新整。五铢衣薄，应怯瑶台,香、花、月、俨、烟,香 花 月 俨 烟 愁 日 粉 声 一,"[[""香"", 0.033107250928878784], [""花"", 0.020285967737436295], [""月"", 0.017927028238773346], [""俨"", 0.01449249405413866], [""烟"", 0.014441081322729588], [""愁"", 0.014113866724073887], [""日"", 0.01341849472373724], [""粉"", 0.013319360092282295], [""声"", 0.012971320189535618], [""一"", 0.012944405898451805]]",25.407007
142,满江红,梅花,宋,赤日黄埃，梦不到、清溪翠麓。空健羨、君家别墅，几株幽独。骨冷肌清偏要月，天寒日暮,竹、寒、烛、日、肌,竹 寒 烛 日 肌 株 韵 山 风 银,"[[""竹"", 0.03802917152643204], [""寒"", 0.03129059821367264], [""烛"", 0.026825549080967903], [""日"", 0.022015510126948357], [""肌"", 0.02199515514075756], [""株"", 0.020257344469428062], [""韵"", 0.018851540982723236], [""山"", 0.018114101141691208], [""风"", 0.017452087253332138], [""银"", 0.017339076846837997]]",25.455589
143,花心动,梅花,宋,谁倚青楼，把谪仙长笛，数声吹裂。一片乍零，千 点还飞，正是雨晴时节。水晶帘外东风,雨、灯、月、雪、寒,雨 灯 月 雪 寒 香 有 水 冷 烟,"[[""雨"", 0.04316691309213638], [""灯"", 0.02041282318532467], [""月"", 0.019643547013401985], [""雪"", 0.018256735056638718], [""寒"", 0.01757020317018032], [""香"", 0.015476415865123272], [""有"", 0.01488505583256483], [""水"", 0.01436547003686428], [""冷"", 0.012868975289165974], [""烟"", 0.012698524631559849]]",25.468674
144,孤 鸾,梅花,宋,江南春早。问江上寒梅，占春多少？自照疏星冷，只许春风到。幽香不知甚处，但迢迢、满,寒、竹、梅、星、塞,寒 竹 梅 星 塞 花 草 凉 霜 月,"[[""寒"", 0.02806503139436245], [""竹"", 0.023708872497081757], [""梅"", 0.01865554228425026], [""星"", 0.01791333220899105], [""塞"", 0.014247397892177105], [""花"", 0.013903923332691193], [""草"", 0.013729384168982506], [""凉"", 0.01355480495840311], [""霜"", 0.013554553501307964], [""月"", 0.013156181201338768]]",25.478725
145,赏南枝,梅花,宋,暮冬天地闭。正柔木冻折，瑞雪飘飞。对景见南山，岭梅露、几点清雅容姿。丹染萼，玉缀,香、木、酒、却、柔,香 木 酒 却 柔 独 岭 此 根 南,"[[""香"", 0.024840189144015312], [""木"", 0.023931199684739113], [""酒"", 0.020159710198640823], [""却"", 0.02006908319890499], [""柔"", 0.01732313632965088], [""独"", 0.014522647485136986], [""岭"", 0.01304489467293024], [""此"", 0.012247077189385891], [""根"", 0.011924072168767452], [""南"", 0.011827914044260979]]",25.509321
146,一尊红,梅花,元,玉堂深。正重帘护暝，窗色试新晴。苔暖鳞生，泥融脉起，春意初破琼英。夜深后，寒消绛,寒、一、冷、露、月,寒 一 冷 露 月 帘 笛 香 暖 苔,"[[""寒"", 0.02022075094282627], [""一"", 0.013086197897791862], [""冷"", 0.012008060701191425], [""露"", 0.011897146701812744], [""月"", 0.011711888946592808], [""帘"", 0.011044085025787354], [""笛"", 0.01054555457085371], [""香"", 0.010436397977173328], [""暖"", 0.010424355044960976], [""苔"", 0.01007104106247425]]",25.45303
147,暗香,梅花,宋,辛亥之冬，余載雪诣石湖。止既月，授簡索句，且征新声，作此两曲，石湖把玩不已，使二,寒、花、翠、夜、江,寒 花 翠 夜 江 月 竹 香 亥 节,"[[""寒"", 0.05283365026116371], [""花"", 0.023062704131007195], [""翠"", 0.013843300752341747], [""夜"", 0.013142334297299385], [""江"", 0.012836494483053684], [""月"", 0.012447481043636799], [""竹"", 0.01081317663192749], [""香"", 0.010709828697144985], [""亥"", 0.010015108622610569], [""节"", 0.009990667924284935]]",25.558987
148,暗香,梅花,清,春才几日，早数枝开遍，笑他红白。仙径曾逢，萼绿华来记相识。修竹天寒翠倚，翻认了，,竹、香、寒、根、绿,竹 香 寒 根 绿 月 枝 萼 篱 铜,"[[""竹"", 0.029714874923229218], [""香"", 0.028665577992796898], [""寒"", 0.02559255063533783], [""根"", 0.023117167875170708], [""绿"", 0.021274186670780182], [""月"", 0.020312052220106125], [""枝"", 0.017806850373744965], [""萼"", 0.016262682154774666], [""篱"", 0.015121541917324066], [""铜"", 0.014758219942450523]]",25.478756
149,疏 影,梅花,宋,苔枝缀玉，有翠禽小小，枝上同宿。客里相逢，篱角黄昏，无言自倚修竹。昭君不惯胡沙远,蛾、佩、翠、苔、沙,蛾 佩 翠 苔 沙 怨 篱 角 绿 香,"[[""蛾"", 0.04995625093579292], [""佩"", 0.04771748185157776], [""翠"", 0.04203995317220688], [""苔"", 0.023179294541478157], [""沙"", 0.022063689306378365], [""怨"", 0.020047586411237717], [""篱"", 0.019983608275651932], [""角"", 0.019140444695949554], [""绿"", 0.018609507009387016], [""香"", 0.016855215653777122]]",25.526821
150,疏 影,梅花,宋,琼妃卧月。任素裳瘦损，罗带重结。石径春寒，碧藓参差，相思曾步芳屎。离魂分破东风恨,寒、藓、云、清、月,寒 藓 云 清 月 茸 香 娉 虬 棹,"[[""寒"", 0.03769121691584587], [""藓"", 0.02501320280134678], [""云"", 0.02129673957824707], [""清"", 0.020952360704541206], [""月"", 0.01903403177857399], [""茸"", 0.01804158091545105], [""香"", 0.017895400524139404], [""娉"", 0.016761278733611107], [""虬"", 0.014740917831659317], [""棹"", 0.014102492481470108]]",25.49243
151,疏 影,梅花,宋,黄昏片月。映碎阴满地，还更清绝。枝北枝南，疑有疑无，几度背灯难折。依稀倩女离魂处,竹、寒、香、酒、洁,竹 寒 香 酒 洁 瑚 水 枝 阴 灯,"[[""竹"", 0.039017729461193085], [""寒"", 0.03476719185709953], [""香"", 0.03442816808819771], [""酒"", 0.02985137328505516], [""洁"", 0.025278760120272636], [""瑚"", 0.024079114198684692], [""水"", 0.023914504796266556], [""枝"", 0.022714776918292046], [""阴"", 0.017228703945875168], [""灯"", 0.016462791711091995]]",25.443176
152,扬州慢,梅花,清,山外烟沉，溪头雪霁，小桥竹屋人家。发垂垂一树，向篱落横斜。正昨夜、孤山梦醒，一层,寒、竹、香、月、洒,寒 竹 香 月 洒 泪 却 烟 树 霁,"[[""寒"", 0.03428410738706589], [""竹"", 0.029175961390137672], [""香"", 0.026018470525741577], [""月"", 0.02192913554608822], [""洒"", 0.017084533348679543], [""泪"", 0.016590869054198265], [""却"", 0.01596626080572605], [""烟"", 0.014691153541207314], [""树"", 0.014461220242083073], [""霁"", 0.014329751022160053]]",25.471649
153,沁园春,梅花,宋,有美人兮，铁石心肠，寄春一枝。喜藓生龙甲，那因雪瘦；月横鹤膝，不受寒欺。云卧空山,寒、烟、山、枝、玑,寒 烟 山 枝 玑 雨 心 云 甲 月,"[[""寒"", 0.04398971050977707], [""烟"", 0.03469417244195938], [""山"", 0.02281486615538597], [""枝"", 0.017638791352510452], [""玑"", 0.017481522634625435], [""雨"", 0.01575150154531002], [""心"", 0.01320201251655817], [""云"", 0.012507296167314053], [""甲"", 0.011671824380755424], [""月"", 0.01071702130138874]]",25.52968
154,沁园春,梅花,宋,天造梅花，有许孤高，有许芬芳。似湘娥凝望，敛君山黛；明妃远嫁，作汉宫妆。冷艳谁知,寒、节、黛、香、芬,寒 节 黛 香 芬 旄 山 日 羌 茅,"[[""寒"", 0.03648388385772705], [""节"", 0.0203934907913208], [""黛"", 0.017944898456335068], [""香"", 0.016950193792581558], [""芬"", 0.0167414341121912], [""旄"", 0.016548728570342064], [""山"", 0.015788599848747253], [""日"", 0.015265549533069134], [""羌"", 0.013276413083076477], [""茅"", 0.011764264665544033]]",25.547323
155,贺新郎,梅花,宋,乔木生云气，访中兴、英雄陈迹，暗追前事。战舰东风慳借便，梦断神州故里。旋小筑、吴,寒、苔、云、泪、浪,寒 苔 云 泪 浪 木 竹 露 舰 梅,"[[""寒"", 0.024708302691578865], [""苔"", 0.024396972730755806], [""云"", 0.019384080544114113], [""泪"", 0.01925095170736313], [""浪"", 0.018360517919063568], [""木"", 0.017761334776878357], [""竹"", 0.01552480086684227], [""露"", 0.015430377796292305], [""舰"", 0.012761627323925495], [""梅"", 0.012575069442391396]]",25.485882
156,六州歌头,梅花,元,孤山岁晚，石老树槎極。逋仙去，谁为主？自疏花，破冰芽。乌帽骑驴处，近修竹，侵荒藓,竹、藓、寒、鬟、酒,竹 藓 寒 鬟 酒 水 蜂 苔 香 雪,"[[""竹"", 0.024208100512623787], [""藓"", 0.023549575358629227], [""寒"", 0.023299861699342728], [""鬟"", 0.022409552708268166], [""酒"", 0.021717211231589317], [""水"", 0.02099621668457985], [""蜂"", 0.018983306363224983], [""苔"", 0.017456481233239174], [""香"", 0.015159573405981064], [""雪"", 0.014505785889923573]]",25.493568
157,代迎春花招刘郎中,迎春花,唐,幸与松筠相近栽， 不随桃李一时开。 杏园岂敢妨君去， 未有花时且看来。,松、筠、花、园、敢,松 筠 花 园 敢 看 李 有 妨 与,"[[""松"", 0.13437792658805847], [""筠"", 0.0963233932852745], [""花"", 0.060962844640016556], [""园"", 0.04504062235355377], [""敢"", 0.03745665401220322], [""看"", 0.031867530196905136], [""李"", 0.03170197084546089], [""有"", 0.02973858080804348], [""妨"", 0.028834041208028793], [""与"", 0.025833753868937492]]",25.506794
