词,C3,C3_zh,C2,C1,source
盛誉,praise,称颂赞美,favour,positive,FCCPSL
胜似,praise,称颂赞美,favour,positive,FCCPSL
较优,praise,称颂赞美,favour,positive,FCCPSL
风尚,praise,称颂赞美,favour,positive,FCCPSL
显贵,praise,称颂赞美,favour,positive,FCCPSL
以期,praise,称颂赞美,favour,positive,FCCPSL
好处,praise,称颂赞美,favour,positive,FCCPSL
素朴,praise,称颂赞美,favour,positive,FCCPSL
正当,praise,称颂赞美,favour,positive,FCCPSL
美意,praise,称颂赞美,favour,positive,FCCPSL
妙丽,praise,称颂赞美,favour,positive,FCCPSL
倾注,praise,称颂赞美,favour,positive,FCCPSL
见地,praise,称颂赞美,favour,positive,FCCPSL
端庄,praise,称颂赞美,favour,positive,FCCPSL
欣羡,praise,称颂赞美,favour,positive,FCCPSL
关注,praise,称颂赞美,favour,positive,FCCPSL
出迎,praise,称颂赞美,favour,positive,FCCPSL
维护,praise,称颂赞美,favour,positive,FCCPSL
交辉,praise,称颂赞美,favour,positive,FCCPSL
冰心,praise,称颂赞美,favour,positive,FCCPSL
平稳,praise,称颂赞美,favour,positive,FCCPSL
志行,praise,称颂赞美,favour,positive,FCCPSL
首倡,praise,称颂赞美,favour,positive,FCCPSL
审美,praise,称颂赞美,favour,positive,FCCPSL
技法,praise,称颂赞美,favour,positive,FCCPSL
服务,praise,称颂赞美,favour,positive,FCCPSL
见解,praise,称颂赞美,favour,positive,FCCPSL
洒扫,praise,称颂赞美,favour,positive,FCCPSL
柔婉,praise,称颂赞美,favour,positive,FCCPSL
知恩,praise,称颂赞美,favour,positive,FCCPSL
从不,praise,称颂赞美,favour,positive,FCCPSL
凉爽,praise,称颂赞美,favour,positive,FCCPSL
全胜,praise,称颂赞美,favour,positive,FCCPSL
清平,praise,称颂赞美,favour,positive,FCCPSL
热力,praise,称颂赞美,favour,positive,FCCPSL
峭拔,praise,称颂赞美,favour,positive,FCCPSL
发亮,praise,称颂赞美,favour,positive,FCCPSL
壮大,praise,称颂赞美,favour,positive,FCCPSL
飘扬,praise,称颂赞美,favour,positive,FCCPSL
壮伟,praise,称颂赞美,favour,positive,FCCPSL
端凝,praise,称颂赞美,favour,positive,FCCPSL
成长,praise,称颂赞美,favour,positive,FCCPSL
盛名,praise,称颂赞美,favour,positive,FCCPSL
突破,praise,称颂赞美,favour,positive,FCCPSL
激流,praise,称颂赞美,favour,positive,FCCPSL
友邻,praise,称颂赞美,favour,positive,FCCPSL
安谧,praise,称颂赞美,favour,positive,FCCPSL
素净,praise,称颂赞美,favour,positive,FCCPSL
特异,praise,称颂赞美,favour,positive,FCCPSL
素雅,praise,称颂赞美,favour,positive,FCCPSL
醇厚,praise,称颂赞美,favour,positive,FCCPSL
大师,praise,称颂赞美,favour,positive,FCCPSL
赞歌,praise,称颂赞美,favour,positive,FCCPSL
详备,praise,称颂赞美,favour,positive,FCCPSL
点化,praise,称颂赞美,favour,positive,FCCPSL
义举,praise,称颂赞美,favour,positive,FCCPSL
长策,praise,称颂赞美,favour,positive,FCCPSL
清流,praise,称颂赞美,favour,positive,FCCPSL
谢客,praise,称颂赞美,favour,positive,FCCPSL
过问,praise,称颂赞美,favour,positive,FCCPSL
平和,praise,称颂赞美,favour,positive,FCCPSL
正道,praise,称颂赞美,favour,positive,FCCPSL
悦目,praise,称颂赞美,favour,positive,FCCPSL
润泽,praise,称颂赞美,favour,positive,FCCPSL
尖利,praise,称颂赞美,favour,positive,FCCPSL
强者,praise,称颂赞美,favour,positive,FCCPSL
精髓,praise,称颂赞美,favour,positive,FCCPSL
对称,praise,称颂赞美,favour,positive,FCCPSL
进军,praise,称颂赞美,favour,positive,FCCPSL
豪兴,praise,称颂赞美,favour,positive,FCCPSL
称誉,praise,称颂赞美,favour,positive,FCCPSL
明静,praise,称颂赞美,favour,positive,FCCPSL
交映,praise,称颂赞美,favour,positive,FCCPSL
清逸,praise,称颂赞美,favour,positive,FCCPSL
幽趣,praise,称颂赞美,favour,positive,FCCPSL
萋萋,praise,称颂赞美,favour,positive,FCCPSL
蓬勃,praise,称颂赞美,favour,positive,FCCPSL
素养,praise,称颂赞美,favour,positive,FCCPSL
优势,praise,称颂赞美,favour,positive,FCCPSL
和调,praise,称颂赞美,favour,positive,FCCPSL
动力,praise,称颂赞美,favour,positive,FCCPSL
观摩,praise,称颂赞美,favour,positive,FCCPSL
徐徐,praise,称颂赞美,favour,positive,FCCPSL
地望,praise,称颂赞美,favour,positive,FCCPSL
迎候,praise,称颂赞美,favour,positive,FCCPSL
有形,praise,称颂赞美,favour,positive,FCCPSL
注视,praise,称颂赞美,favour,positive,FCCPSL
发起,praise,称颂赞美,favour,positive,FCCPSL
察觉,praise,称颂赞美,favour,positive,FCCPSL
练成,praise,称颂赞美,favour,positive,FCCPSL
并辔,praise,称颂赞美,favour,positive,FCCPSL
饯别,praise,称颂赞美,favour,positive,FCCPSL
机锋,praise,称颂赞美,favour,positive,FCCPSL
直觉,praise,称颂赞美,favour,positive,FCCPSL
肃静,praise,称颂赞美,favour,positive,FCCPSL
伟丽,praise,称颂赞美,favour,positive,FCCPSL
鼎盛,praise,称颂赞美,favour,positive,FCCPSL
职责,praise,称颂赞美,favour,positive,FCCPSL
堂皇,praise,称颂赞美,favour,positive,FCCPSL
酬和,praise,称颂赞美,favour,positive,FCCPSL
显达,praise,称颂赞美,favour,positive,FCCPSL
恭谨,praise,称颂赞美,favour,positive,FCCPSL
绝艺,praise,称颂赞美,favour,positive,FCCPSL
上色,praise,称颂赞美,favour,positive,FCCPSL
领先,praise,称颂赞美,favour,positive,FCCPSL
清澄,praise,称颂赞美,favour,positive,FCCPSL
莹澈,praise,称颂赞美,favour,positive,FCCPSL
老将,praise,称颂赞美,favour,positive,FCCPSL
受赏,praise,称颂赞美,favour,positive,FCCPSL
寄予,praise,称颂赞美,favour,positive,FCCPSL
白金,praise,称颂赞美,favour,positive,FCCPSL
翩然,praise,称颂赞美,favour,positive,FCCPSL
奋迅,praise,称颂赞美,favour,positive,FCCPSL
烈士,praise,称颂赞美,favour,positive,FCCPSL
壮心,praise,称颂赞美,favour,positive,FCCPSL
冲锋,praise,称颂赞美,favour,positive,FCCPSL
功劳,praise,称颂赞美,favour,positive,FCCPSL
神速,praise,称颂赞美,favour,positive,FCCPSL
完好,praise,称颂赞美,favour,positive,FCCPSL
精熟,praise,称颂赞美,favour,positive,FCCPSL
勤苦,praise,称颂赞美,favour,positive,FCCPSL
相国,praise,称颂赞美,favour,positive,FCCPSL
淳朴,praise,称颂赞美,favour,positive,FCCPSL
先世,praise,称颂赞美,favour,positive,FCCPSL
成趣,praise,称颂赞美,favour,positive,FCCPSL
成诵,praise,称颂赞美,favour,positive,FCCPSL
楷式,praise,称颂赞美,favour,positive,FCCPSL
最佳,praise,称颂赞美,favour,positive,FCCPSL
富庶,praise,称颂赞美,favour,positive,FCCPSL
师长,praise,称颂赞美,favour,positive,FCCPSL
大户,praise,称颂赞美,favour,positive,FCCPSL
华彩,praise,称颂赞美,favour,positive,FCCPSL
合宜,praise,称颂赞美,favour,positive,FCCPSL
入骨,praise,称颂赞美,favour,positive,FCCPSL
沉厚,praise,称颂赞美,favour,positive,FCCPSL
赠答,praise,称颂赞美,favour,positive,FCCPSL
当面,praise,称颂赞美,favour,positive,FCCPSL
栩栩,praise,称颂赞美,favour,positive,FCCPSL
清寒,praise,称颂赞美,favour,positive,FCCPSL
周济,praise,称颂赞美,favour,positive,FCCPSL
好用,praise,称颂赞美,favour,positive,FCCPSL
名作,praise,称颂赞美,favour,positive,FCCPSL
竭力,praise,称颂赞美,favour,positive,FCCPSL
入定,praise,称颂赞美,favour,positive,FCCPSL
法制,praise,称颂赞美,favour,positive,FCCPSL
佛法,praise,称颂赞美,favour,positive,FCCPSL
耸立,praise,称颂赞美,favour,positive,FCCPSL
宏阔,praise,称颂赞美,favour,positive,FCCPSL
醒目,praise,称颂赞美,favour,positive,FCCPSL
劲拔,praise,称颂赞美,favour,positive,FCCPSL
坚毅,praise,称颂赞美,favour,positive,FCCPSL
有理,praise,称颂赞美,favour,positive,FCCPSL
俊迈,praise,称颂赞美,favour,positive,FCCPSL
范例,praise,称颂赞美,favour,positive,FCCPSL
倾泻,praise,称颂赞美,favour,positive,FCCPSL
纵深,praise,称颂赞美,favour,positive,FCCPSL
来神,praise,称颂赞美,favour,positive,FCCPSL
翻新,praise,称颂赞美,favour,positive,FCCPSL
厚望,praise,称颂赞美,favour,positive,FCCPSL
榜样,praise,称颂赞美,favour,positive,FCCPSL
命脉,praise,称颂赞美,favour,positive,FCCPSL
让座,praise,称颂赞美,favour,positive,FCCPSL
悟道,praise,称颂赞美,favour,positive,FCCPSL
闻人,praise,称颂赞美,favour,positive,FCCPSL
般若,praise,称颂赞美,favour,positive,FCCPSL
要义,praise,称颂赞美,favour,positive,FCCPSL
潜心,praise,称颂赞美,favour,positive,FCCPSL
给予,praise,称颂赞美,favour,positive,FCCPSL
学者,praise,称颂赞美,favour,positive,FCCPSL
钦慕,praise,称颂赞美,favour,positive,FCCPSL
澄净,praise,称颂赞美,favour,positive,FCCPSL
火红,praise,称颂赞美,favour,positive,FCCPSL
甘于,praise,称颂赞美,favour,positive,FCCPSL
恬美,praise,称颂赞美,favour,positive,FCCPSL
简易,praise,称颂赞美,favour,positive,FCCPSL
寄怀,praise,称颂赞美,favour,positive,FCCPSL
净化,praise,称颂赞美,favour,positive,FCCPSL
新巧,praise,称颂赞美,favour,positive,FCCPSL
经世,praise,称颂赞美,favour,positive,FCCPSL
啸傲,praise,称颂赞美,favour,positive,FCCPSL
为傲,praise,称颂赞美,favour,positive,FCCPSL
的当,praise,称颂赞美,favour,positive,FCCPSL
趣味,praise,称颂赞美,favour,positive,FCCPSL
亲昵,praise,称颂赞美,favour,positive,FCCPSL
灵感,praise,称颂赞美,favour,positive,FCCPSL
感化,praise,称颂赞美,favour,positive,FCCPSL
牢记,praise,称颂赞美,favour,positive,FCCPSL
有素,praise,称颂赞美,favour,positive,FCCPSL
无庸,praise,称颂赞美,favour,positive,FCCPSL
归耕,praise,称颂赞美,favour,positive,FCCPSL
鲜红,praise,称颂赞美,favour,positive,FCCPSL
剔透,praise,称颂赞美,favour,positive,FCCPSL
更生,praise,称颂赞美,favour,positive,FCCPSL
顾及,praise,称颂赞美,favour,positive,FCCPSL
凝聚,praise,称颂赞美,favour,positive,FCCPSL
丰厚,praise,称颂赞美,favour,positive,FCCPSL
笔意,praise,称颂赞美,favour,positive,FCCPSL
中允,praise,称颂赞美,favour,positive,FCCPSL
文宗,praise,称颂赞美,favour,positive,FCCPSL
气节,praise,称颂赞美,favour,positive,FCCPSL
圆通,praise,称颂赞美,favour,positive,FCCPSL
操守,praise,称颂赞美,favour,positive,FCCPSL
着想,praise,称颂赞美,favour,positive,FCCPSL
义气,praise,称颂赞美,favour,positive,FCCPSL
刚正,praise,称颂赞美,favour,positive,FCCPSL
较真,praise,称颂赞美,favour,positive,FCCPSL
好学,praise,称颂赞美,favour,positive,FCCPSL
光顾,praise,称颂赞美,favour,positive,FCCPSL
宾朋,praise,称颂赞美,favour,positive,FCCPSL
弘扬,praise,称颂赞美,favour,positive,FCCPSL
国威,praise,称颂赞美,favour,positive,FCCPSL
效命,praise,称颂赞美,favour,positive,FCCPSL
倡议,praise,称颂赞美,favour,positive,FCCPSL
流通,praise,称颂赞美,favour,positive,FCCPSL
造福,praise,称颂赞美,favour,positive,FCCPSL
奏效,praise,称颂赞美,favour,positive,FCCPSL
老成,praise,称颂赞美,favour,positive,FCCPSL
长者,praise,称颂赞美,favour,positive,FCCPSL
先达,praise,称颂赞美,favour,positive,FCCPSL
援手,praise,称颂赞美,favour,positive,FCCPSL
荐引,praise,称颂赞美,favour,positive,FCCPSL
参合,praise,称颂赞美,favour,positive,FCCPSL
菩提,praise,称颂赞美,favour,positive,FCCPSL
供奉,praise,称颂赞美,favour,positive,FCCPSL
嘉许,praise,称颂赞美,favour,positive,FCCPSL
留意,praise,称颂赞美,favour,positive,FCCPSL
东风,praise,称颂赞美,favour,positive,FCCPSL
相扰,praise,称颂赞美,favour,positive,FCCPSL
困守,praise,称颂赞美,favour,positive,FCCPSL
俶傥,praise,称颂赞美,favour,positive,FCCPSL
卓异,praise,称颂赞美,favour,positive,FCCPSL
景仰,praise,称颂赞美,favour,positive,FCCPSL
钦敬,praise,称颂赞美,favour,positive,FCCPSL
楷模,praise,称颂赞美,favour,positive,FCCPSL
声威,praise,称颂赞美,favour,positive,FCCPSL
激切,praise,称颂赞美,favour,positive,FCCPSL
驯服,praise,称颂赞美,favour,positive,FCCPSL
成名,praise,称颂赞美,favour,positive,FCCPSL
河山,praise,称颂赞美,favour,positive,FCCPSL
苦心,praise,称颂赞美,favour,positive,FCCPSL
造访,praise,称颂赞美,favour,positive,FCCPSL
入室,praise,称颂赞美,favour,positive,FCCPSL
好使,praise,称颂赞美,favour,positive,FCCPSL
崇敬,praise,称颂赞美,favour,positive,FCCPSL
健儿,praise,称颂赞美,favour,positive,FCCPSL
天兵,praise,称颂赞美,favour,positive,FCCPSL
荣誉,praise,称颂赞美,favour,positive,FCCPSL
文明,praise,称颂赞美,favour,positive,FCCPSL
随和,praise,称颂赞美,favour,positive,FCCPSL
奇彩,praise,称颂赞美,favour,positive,FCCPSL
耐心,praise,称颂赞美,favour,positive,FCCPSL
完善,praise,称颂赞美,favour,positive,FCCPSL
佳丽,praise,称颂赞美,favour,positive,FCCPSL
偕老,praise,称颂赞美,favour,positive,FCCPSL
婉言,praise,称颂赞美,favour,positive,FCCPSL
精绝,praise,称颂赞美,favour,positive,FCCPSL
纤巧,praise,称颂赞美,favour,positive,FCCPSL
规范,praise,称颂赞美,favour,positive,FCCPSL
绵密,praise,称颂赞美,favour,positive,FCCPSL
比翼,praise,称颂赞美,favour,positive,FCCPSL
永久,praise,称颂赞美,favour,positive,FCCPSL
贤哲,praise,称颂赞美,favour,positive,FCCPSL
赋有,praise,称颂赞美,favour,positive,FCCPSL
攻破,praise,称颂赞美,favour,positive,FCCPSL
抵抗,praise,称颂赞美,favour,positive,FCCPSL
上宾,praise,称颂赞美,favour,positive,FCCPSL
草圣,praise,称颂赞美,favour,positive,FCCPSL
钦佩,praise,称颂赞美,favour,positive,FCCPSL
神人,praise,称颂赞美,favour,positive,FCCPSL
荣光,praise,称颂赞美,favour,positive,FCCPSL
窈冥,praise,称颂赞美,favour,positive,FCCPSL
绝顶,praise,称颂赞美,favour,positive,FCCPSL
夭矫,praise,称颂赞美,favour,positive,FCCPSL
凌厉,praise,称颂赞美,favour,positive,FCCPSL
顶峰,praise,称颂赞美,favour,positive,FCCPSL
青碧,praise,称颂赞美,favour,positive,FCCPSL
仙子,praise,称颂赞美,favour,positive,FCCPSL
瑶池,praise,称颂赞美,favour,positive,FCCPSL
化境,praise,称颂赞美,favour,positive,FCCPSL
瑰奇,praise,称颂赞美,favour,positive,FCCPSL
美誉,praise,称颂赞美,favour,positive,FCCPSL
救国,praise,称颂赞美,favour,positive,FCCPSL
盛筵,praise,称颂赞美,favour,positive,FCCPSL
应酬,praise,称颂赞美,favour,positive,FCCPSL
协助,praise,称颂赞美,favour,positive,FCCPSL
奇勋,praise,称颂赞美,favour,positive,FCCPSL
明鉴,praise,称颂赞美,favour,positive,FCCPSL
天籁,praise,称颂赞美,favour,positive,FCCPSL
群英,praise,称颂赞美,favour,positive,FCCPSL
大雅,praise,称颂赞美,favour,positive,FCCPSL
正式,praise,称颂赞美,favour,positive,FCCPSL
仪容,praise,称颂赞美,favour,positive,FCCPSL
玉人,praise,称颂赞美,favour,positive,FCCPSL
清朗,praise,称颂赞美,favour,positive,FCCPSL
父兄,praise,称颂赞美,favour,positive,FCCPSL
磊落,praise,称颂赞美,favour,positive,FCCPSL
谒见,praise,称颂赞美,favour,positive,FCCPSL
高论,praise,称颂赞美,favour,positive,FCCPSL
回敬,praise,称颂赞美,favour,positive,FCCPSL
图腾,praise,称颂赞美,favour,positive,FCCPSL
神力,praise,称颂赞美,favour,positive,FCCPSL
锐气,praise,称颂赞美,favour,positive,FCCPSL
胆量,praise,称颂赞美,favour,positive,FCCPSL
不屈,praise,称颂赞美,favour,positive,FCCPSL
至当,praise,称颂赞美,favour,positive,FCCPSL
措意,praise,称颂赞美,favour,positive,FCCPSL
诗才,praise,称颂赞美,favour,positive,FCCPSL
佩服,praise,称颂赞美,favour,positive,FCCPSL
尊崇,praise,称颂赞美,favour,positive,FCCPSL
干脆,praise,称颂赞美,favour,positive,FCCPSL
投合,praise,称颂赞美,favour,positive,FCCPSL
经典,praise,称颂赞美,favour,positive,FCCPSL
报酬,praise,称颂赞美,favour,positive,FCCPSL
超绝,praise,称颂赞美,favour,positive,FCCPSL
随手,praise,称颂赞美,favour,positive,FCCPSL
召唤,praise,称颂赞美,favour,positive,FCCPSL
儒生,praise,称颂赞美,favour,positive,FCCPSL
主导,praise,称颂赞美,favour,positive,FCCPSL
学好,praise,称颂赞美,favour,positive,FCCPSL
树立,praise,称颂赞美,favour,positive,FCCPSL
盛产,praise,称颂赞美,favour,positive,FCCPSL
毕生,praise,称颂赞美,favour,positive,FCCPSL
圣贤,praise,称颂赞美,favour,positive,FCCPSL
请教,praise,称颂赞美,favour,positive,FCCPSL
方略,praise,称颂赞美,favour,positive,FCCPSL
文饰,praise,称颂赞美,favour,positive,FCCPSL
平整,praise,称颂赞美,favour,positive,FCCPSL
端重,praise,称颂赞美,favour,positive,FCCPSL
断然,praise,称颂赞美,favour,positive,FCCPSL
软语,praise,称颂赞美,favour,positive,FCCPSL
才艺,praise,称颂赞美,favour,positive,FCCPSL
通人,praise,称颂赞美,favour,positive,FCCPSL
讴歌,praise,称颂赞美,favour,positive,FCCPSL
翻越,praise,称颂赞美,favour,positive,FCCPSL
钦羡,praise,称颂赞美,favour,positive,FCCPSL
无华,praise,称颂赞美,favour,positive,FCCPSL
长于,praise,称颂赞美,favour,positive,FCCPSL
佳品,praise,称颂赞美,favour,positive,FCCPSL
上峰,praise,称颂赞美,favour,positive,FCCPSL
才气,praise,称颂赞美,favour,positive,FCCPSL
备至,praise,称颂赞美,favour,positive,FCCPSL
傲然,praise,称颂赞美,favour,positive,FCCPSL
文豪,praise,称颂赞美,favour,positive,FCCPSL
傲骨,praise,称颂赞美,favour,positive,FCCPSL
经纶,praise,称颂赞美,favour,positive,FCCPSL
神物,praise,称颂赞美,favour,positive,FCCPSL
和煦,praise,称颂赞美,favour,positive,FCCPSL
勇士,praise,称颂赞美,favour,positive,FCCPSL
前辈,praise,称颂赞美,favour,positive,FCCPSL
英风,praise,称颂赞美,favour,positive,FCCPSL
发愤,praise,称颂赞美,favour,positive,FCCPSL
清真,praise,称颂赞美,favour,positive,FCCPSL
雅正,praise,称颂赞美,favour,positive,FCCPSL
少壮,praise,称颂赞美,favour,positive,FCCPSL
开创,praise,称颂赞美,favour,positive,FCCPSL
明断,praise,称颂赞美,favour,positive,FCCPSL
威风,praise,称颂赞美,favour,positive,FCCPSL
力作,praise,称颂赞美,favour,positive,FCCPSL
效劳,praise,称颂赞美,favour,positive,FCCPSL
求实,praise,称颂赞美,favour,positive,FCCPSL
超人,praise,称颂赞美,favour,positive,FCCPSL
辉赫,praise,称颂赞美,favour,positive,FCCPSL
头等,praise,称颂赞美,favour,positive,FCCPSL
奉璧,praise,称颂赞美,favour,positive,FCCPSL
探究,praise,称颂赞美,favour,positive,FCCPSL
玉宇,praise,称颂赞美,favour,positive,FCCPSL
辉耀,praise,称颂赞美,favour,positive,FCCPSL
修明,praise,称颂赞美,favour,positive,FCCPSL
灿然,praise,称颂赞美,favour,positive,FCCPSL
飞速,praise,称颂赞美,favour,positive,FCCPSL
体察,praise,称颂赞美,favour,positive,FCCPSL
权力,praise,称颂赞美,favour,positive,FCCPSL
消魂,praise,称颂赞美,favour,positive,FCCPSL
显明,praise,称颂赞美,favour,positive,FCCPSL
俱佳,praise,称颂赞美,favour,positive,FCCPSL
断根,praise,称颂赞美,favour,positive,FCCPSL
娇好,praise,称颂赞美,favour,positive,FCCPSL
聘请,praise,称颂赞美,favour,positive,FCCPSL
玲珑,praise,称颂赞美,favour,positive,FCCPSL
实用,praise,称颂赞美,favour,positive,FCCPSL
小生,praise,称颂赞美,favour,positive,FCCPSL
丰姿,praise,称颂赞美,favour,positive,FCCPSL
下凡,praise,称颂赞美,favour,positive,FCCPSL
绝代,praise,称颂赞美,favour,positive,FCCPSL
绝色,praise,称颂赞美,favour,positive,FCCPSL
戎马,praise,称颂赞美,favour,positive,FCCPSL
悍将,praise,称颂赞美,favour,positive,FCCPSL
贞洁,praise,称颂赞美,favour,positive,FCCPSL
能动,praise,称颂赞美,favour,positive,FCCPSL
清越,praise,称颂赞美,favour,positive,FCCPSL
要强,praise,称颂赞美,favour,positive,FCCPSL
上进,praise,称颂赞美,favour,positive,FCCPSL
观止,praise,称颂赞美,favour,positive,FCCPSL
小儿,praise,称颂赞美,favour,positive,FCCPSL
善终,praise,称颂赞美,favour,positive,FCCPSL
机巧,praise,称颂赞美,favour,positive,FCCPSL
警辟,praise,称颂赞美,favour,positive,FCCPSL
争光,praise,称颂赞美,favour,positive,FCCPSL
高旷,praise,称颂赞美,favour,positive,FCCPSL
揄扬,praise,称颂赞美,favour,positive,FCCPSL
皎白,praise,称颂赞美,favour,positive,FCCPSL
人道,praise,称颂赞美,favour,positive,FCCPSL
秀逸,praise,称颂赞美,favour,positive,FCCPSL
孤直,praise,称颂赞美,favour,positive,FCCPSL
善行,praise,称颂赞美,favour,positive,FCCPSL
芳馨,praise,称颂赞美,favour,positive,FCCPSL
清俊,praise,称颂赞美,favour,positive,FCCPSL
嫦娥,praise,称颂赞美,favour,positive,FCCPSL
登攀,praise,称颂赞美,favour,positive,FCCPSL
雄峻,praise,称颂赞美,favour,positive,FCCPSL
高矗,praise,称颂赞美,favour,positive,FCCPSL
闪亮,praise,称颂赞美,favour,positive,FCCPSL
问好,praise,称颂赞美,favour,positive,FCCPSL
高举,praise,称颂赞美,favour,positive,FCCPSL
瑰玮,praise,称颂赞美,favour,positive,FCCPSL
守时,praise,称颂赞美,favour,positive,FCCPSL
澄清,praise,称颂赞美,favour,positive,FCCPSL
森森,praise,称颂赞美,favour,positive,FCCPSL
清肃,praise,称颂赞美,favour,positive,FCCPSL
美味,praise,称颂赞美,favour,positive,FCCPSL
名流,praise,称颂赞美,favour,positive,FCCPSL
声誉,praise,称颂赞美,favour,positive,FCCPSL
雅士,praise,称颂赞美,favour,positive,FCCPSL
结实,praise,称颂赞美,favour,positive,FCCPSL
美餐,praise,称颂赞美,favour,positive,FCCPSL
致谢,praise,称颂赞美,favour,positive,FCCPSL
赏赐,praise,称颂赞美,favour,positive,FCCPSL
逸乐,praise,称颂赞美,favour,positive,FCCPSL
胆略,praise,称颂赞美,favour,positive,FCCPSL
造就,praise,称颂赞美,favour,positive,FCCPSL
经营,praise,称颂赞美,favour,positive,FCCPSL
超迈,praise,称颂赞美,favour,positive,FCCPSL
矫正,praise,称颂赞美,favour,positive,FCCPSL
大著,praise,称颂赞美,favour,positive,FCCPSL
浓艳,praise,称颂赞美,favour,positive,FCCPSL
人缘,praise,称颂赞美,favour,positive,FCCPSL
匡扶,praise,称颂赞美,favour,positive,FCCPSL
澹泊,praise,称颂赞美,favour,positive,FCCPSL
天神,praise,称颂赞美,favour,positive,FCCPSL
上好,praise,称颂赞美,favour,positive,FCCPSL
超凡,praise,称颂赞美,favour,positive,FCCPSL
拔俗,praise,称颂赞美,favour,positive,FCCPSL
承担,praise,称颂赞美,favour,positive,FCCPSL
明处,praise,称颂赞美,favour,positive,FCCPSL
至言,praise,称颂赞美,favour,positive,FCCPSL
相成,praise,称颂赞美,favour,positive,FCCPSL
培育,praise,称颂赞美,favour,positive,FCCPSL
一流,praise,称颂赞美,favour,positive,FCCPSL
湛蓝,praise,称颂赞美,favour,positive,FCCPSL
幽婉,praise,称颂赞美,favour,positive,FCCPSL
深微,praise,称颂赞美,favour,positive,FCCPSL
仙逝,praise,称颂赞美,favour,positive,FCCPSL
典范,praise,称颂赞美,favour,positive,FCCPSL
先进,praise,称颂赞美,favour,positive,FCCPSL
专一,praise,称颂赞美,favour,positive,FCCPSL
父辈,praise,称颂赞美,favour,positive,FCCPSL
圣洁,praise,称颂赞美,favour,positive,FCCPSL
节流,praise,称颂赞美,favour,positive,FCCPSL
锦鳞,praise,称颂赞美,favour,positive,FCCPSL
俊气,praise,称颂赞美,favour,positive,FCCPSL
久仰,praise,称颂赞美,favour,positive,FCCPSL
酬谢,praise,称颂赞美,favour,positive,FCCPSL
快捷,praise,称颂赞美,favour,positive,FCCPSL
光泽,praise,称颂赞美,favour,positive,FCCPSL
灵秀,praise,称颂赞美,favour,positive,FCCPSL
伟岸,praise,称颂赞美,favour,positive,FCCPSL
诚笃,praise,称颂赞美,favour,positive,FCCPSL
勇气,praise,称颂赞美,favour,positive,FCCPSL
美秀,praise,称颂赞美,favour,positive,FCCPSL
岿然,praise,称颂赞美,favour,positive,FCCPSL
稳重,praise,称颂赞美,favour,positive,FCCPSL
清正,praise,称颂赞美,favour,positive,FCCPSL
执著,praise,称颂赞美,favour,positive,FCCPSL
理智,praise,称颂赞美,favour,positive,FCCPSL
珠玑,praise,称颂赞美,favour,positive,FCCPSL
红星,praise,称颂赞美,favour,positive,FCCPSL
改造,praise,称颂赞美,favour,positive,FCCPSL
强悍,praise,称颂赞美,favour,positive,FCCPSL
答谢,praise,称颂赞美,favour,positive,FCCPSL
深湛,praise,称颂赞美,favour,positive,FCCPSL
挥戈,praise,称颂赞美,favour,positive,FCCPSL
干净,praise,称颂赞美,favour,positive,FCCPSL
简捷,praise,称颂赞美,favour,positive,FCCPSL
威力,praise,称颂赞美,favour,positive,FCCPSL
雄视,praise,称颂赞美,favour,positive,FCCPSL
诗仙,praise,称颂赞美,favour,positive,FCCPSL
高产,praise,称颂赞美,favour,positive,FCCPSL
景胜,praise,称颂赞美,favour,positive,FCCPSL
洞彻,praise,称颂赞美,favour,positive,FCCPSL
盖世,praise,称颂赞美,favour,positive,FCCPSL
特大,praise,称颂赞美,favour,positive,FCCPSL
敬爱,praise,称颂赞美,favour,positive,FCCPSL
争雄,praise,称颂赞美,favour,positive,FCCPSL
辅助,praise,称颂赞美,favour,positive,FCCPSL
英爽,praise,称颂赞美,favour,positive,FCCPSL
操持,praise,称颂赞美,favour,positive,FCCPSL
绝景,praise,称颂赞美,favour,positive,FCCPSL
天尊,praise,称颂赞美,favour,positive,FCCPSL
崇信,praise,称颂赞美,favour,positive,FCCPSL
正宗,praise,称颂赞美,favour,positive,FCCPSL
浩浩,praise,称颂赞美,favour,positive,FCCPSL
神异,praise,称颂赞美,favour,positive,FCCPSL
谆谆,praise,称颂赞美,favour,positive,FCCPSL
俊逸,praise,称颂赞美,favour,positive,FCCPSL
纤丽,praise,称颂赞美,favour,positive,FCCPSL
牢牢,praise,称颂赞美,favour,positive,FCCPSL
叹赏,praise,称颂赞美,favour,positive,FCCPSL
大士,praise,称颂赞美,favour,positive,FCCPSL
丰盈,praise,称颂赞美,favour,positive,FCCPSL
值钱,praise,称颂赞美,favour,positive,FCCPSL
逼肖,praise,称颂赞美,favour,positive,FCCPSL
感恩,praise,称颂赞美,favour,positive,FCCPSL
英才,praise,称颂赞美,favour,positive,FCCPSL
富强,praise,称颂赞美,favour,positive,FCCPSL
深省,praise,称颂赞美,favour,positive,FCCPSL
大力,praise,称颂赞美,favour,positive,FCCPSL
能耐,praise,称颂赞美,favour,positive,FCCPSL
过关,praise,称颂赞美,favour,positive,FCCPSL
雪恨,praise,称颂赞美,favour,positive,FCCPSL
重地,praise,称颂赞美,favour,positive,FCCPSL
